"SPECIES_NAME","ID_PLACE","year","count","effort_h"
"c",26,2005,3,3.71558523643762
"a",27,2005,9,1.69387336145155
"b",27,2005,4,2.73614055616781
"c",27,2005,2,2.90563622280024
"a",28,2005,4,4.49556781817228
"b",28,2005,6,2.26894905930385
"c",28,2005,1,1.37165109650232
"a",29,2005,4,3.36194164142944
"b",29,2005,4,3.9852787044365
"c",29,2005,9,5.50300295022316
"a",30,2005,7,1.80444196471944
"b",30,2005,3,4.97671659709886
"c",30,2005,7,4.11548357014544
"a",31,2005,3,2.84401406208053
"b",31,2005,5,5.04444008367136
"c",31,2005,4,2.21857487480156
"a",32,2005,4,2.28456890815869
"b",32,2005,2,2.69007866526954
"c",32,2005,5,4.10295258066617
"a",33,2005,4,5.38817262183875
"b",33,2005,5,1.49471141654067
"c",33,2005,9,1.45350774656981
"a",34,2005,2,1.81238238257356
"b",34,2005,8,1.82834659260698
"c",34,2005,8,2.02570408256724
"a",35,2005,8,1.06240032147616
"b",35,2005,6,3.13701393222436
"c",35,2005,5,3.83500453340821
"a",36,2005,10,2.75711762043647
"b",36,2005,4,5.64852852164768
"c",36,2005,6,4.93660124274902
"a",37,2005,3,4.14769940101542
"b",37,2005,7,3.00515348697081
"c",37,2005,3,2.74679128569551
"a",38,2005,4,4.70747295324691
"b",38,2005,8,2.08409044449218
"c",38,2005,1,2.65622735628858
"a",39,2005,7,3.33190743951127
"b",39,2005,3,4.16278177779168
"c",39,2005,5,4.13847701530904
"a",40,2005,5,2.41508895321749
"b",40,2005,8,3.23344346391968
"c",40,2005,6,5.91953849210404
"a",41,2005,1,4.64363396307454
"b",41,2005,4,5.93799440911971
"c",41,2005,8,2.95470250328071
"a",42,2005,4,2.30304344580509
"b",42,2005,9,2.77810318069533
"c",42,2005,6,5.80853613466024
"a",43,2005,4,3.80557321268134
"b",43,2005,7,2.90373518969864
"c",43,2005,8,1.52034300286323
"a",44,2005,4,4.81667847046629
"b",44,2005,5,4.70830205734819
"c",44,2005,6,2.98853474692442
"a",45,2005,2,1.01725511043333
"b",45,2005,10,4.19363215588965
"c",45,2005,8,2.35660353698768
"a",46,2005,1,1.97394203068689
"b",46,2005,8,4.41053229407407
"c",46,2005,6,3.916831682669
"a",47,2005,3,5.29820859921165
"b",47,2005,4,1.22576289135031
"c",47,2005,5,1.88385590235703
"a",48,2005,0,3.35292519093491
"b",48,2005,5,5.69576910836622
"c",48,2005,6,5.06646358198486
"a",49,2005,3,4.11305001494475
"b",49,2005,4,2.39591201907024
"c",49,2005,7,4.59730415395461
"a",50,2005,1,2.20696528581902
"b",50,2005,5,4.78875529509969
"c",50,2005,1,1.0304789096117
"a",51,2005,6,3.73398980032653
"b",51,2005,4,4.4783151128795
"c",51,2005,1,5.97574441018514
"a",52,2005,9,1.83826747140847
"b",52,2005,5,2.78821463719942
"c",52,2005,9,5.45688852691092
"a",53,2005,0,4.39613148127683
"b",53,2005,6,3.77406314271502
"c",53,2005,4,5.16433505131863
"a",54,2005,8,3.83804190461524
"b",54,2005,6,4.89838242670521
"c",54,2005,7,3.39103917265311
"a",55,2005,3,2.75118913291954
"b",55,2005,5,3.83700034953654
"c",55,2005,10,2.771769070765
"a",56,2005,6,5.93873172672465
"b",56,2005,4,1.79186073155142
"c",56,2005,4,5.80529458145611
"a",57,2005,4,5.47735156514682
"b",57,2005,5,5.41673553665169
"c",57,2005,6,4.4420669649262
"a",58,2005,5,3.39736653282307
"b",58,2005,4,1.61931279720739
"c",58,2005,7,4.38618680718355
"a",59,2005,4,2.27225621719845
"b",59,2005,8,4.30963217886165
"c",59,2005,6,2.15708662895486
"a",60,2005,1,1.1118272531312
"b",60,2005,3,2.11175869242288
"c",60,2005,6,1.7225376914721
"a",61,2005,5,4.57594443834387
"b",61,2005,3,4.66736072930507
"c",61,2005,3,4.7818505440373
"a",62,2005,3,3.07934577367269
"b",62,2005,2,1.89612545678392
"c",62,2005,9,2.01115058525465
"a",63,2005,2,4.81897842744365
"b",63,2005,3,2.89428306184709
"c",63,2005,3,4.5914610826876
"a",64,2005,2,5.92880213889293
"b",64,2005,6,1.02284973510541
"c",64,2005,5,5.94794168742374
"a",65,2005,5,2.51753002544865
"b",65,2005,7,1.54814949980937
"c",65,2005,5,2.00389959290624
"a",66,2005,2,4.85835020337254
"b",66,2005,5,3.08790414384566
"c",66,2005,2,4.05160921649076
"a",67,2005,5,2.77819713950157
"b",67,2005,8,5.70678779878654
"c",67,2005,5,2.70404362957925
"a",68,2005,6,5.02978218509816
"b",68,2005,3,1.87866787682287
"c",68,2005,3,2.51459202286787
"a",69,2005,4,3.37964438041672
"b",69,2005,4,4.52542841807008
"c",69,2005,5,2.02417451329529
"a",70,2005,6,1.95226500066929
"b",70,2005,4,3.97697333036922
"c",70,2005,5,5.4960557972081
"a",71,2005,4,3.60809371713549
"b",71,2005,7,2.94788363645785
"c",71,2005,5,2.50626491522416
"a",72,2005,6,1.00841460539959
"b",72,2005,7,5.6483840723522
"c",72,2005,3,2.06361562618986
"a",73,2005,2,5.64062003302388
"b",73,2005,3,3.03853832674213
"c",73,2005,7,1.16618364257738
"a",74,2005,5,2.28397748107091
"b",74,2005,1,5.16804949985817
"c",74,2005,6,4.93076656386256
"a",75,2005,7,1.20695797982626
"b",75,2005,3,4.40176437748596
"c",75,2005,4,1.1603118958883
"a",76,2005,2,4.39118340751156
"b",76,2005,4,1.90210256050341
"c",76,2005,5,1.36605791538022
"a",77,2005,2,1.35017802845687
"b",77,2005,8,1.05058968672529
"c",77,2005,8,1.60276356292889
"a",78,2005,6,3.68539078300819
"b",78,2005,4,5.97332690982148
"c",78,2005,2,5.08120645326562
"a",79,2005,5,3.70896591013297
"b",79,2005,6,2.16439216886647
"c",79,2005,2,5.54954142449424
"a",80,2005,3,1.05457096034661
"b",80,2005,4,4.66650354349986
"c",80,2005,3,2.71449527028017
"a",81,2005,8,4.63762775436044
"b",81,2005,5,5.6154383267276
"c",81,2005,6,5.38248367514461
"a",82,2005,9,2.09171409159899
"b",82,2005,9,2.87722590169869
"c",82,2005,4,1.13767835334875
"a",83,2005,4,4.38967190007679
"b",83,2005,8,1.97546349163167
"c",83,2005,1,3.07968243747018
"a",84,2005,2,2.41000531613827
"b",84,2005,6,4.68333843303844
"c",84,2005,7,1.50730331102386
"a",85,2005,3,2.43331374390982
"b",85,2005,7,4.61983375856653
"c",85,2005,6,1.13025127002038
"a",86,2005,4,3.78959869290702
"b",86,2005,5,5.58193493890576
"c",86,2005,3,2.88445884501562
"a",87,2005,5,2.40761631540954
"b",87,2005,5,3.65535421785899
"c",87,2005,6,5.46097268606536
"a",88,2005,5,3.24688087706454
"b",88,2005,6,1.31615403015167
"c",88,2005,7,4.54718258255161
"a",89,2005,7,2.80798346060328
"b",89,2005,4,3.29015130084008
"c",89,2005,7,4.83488333667628
"a",90,2005,6,2.02592253242619
"b",90,2005,9,3.27917216485366
"c",90,2005,3,5.02815266163088
"a",91,2005,6,5.14496077923104
"b",91,2005,4,2.91291505936533
"c",91,2005,4,2.98572288732976
"a",92,2005,10,5.90021497942507
"b",92,2005,5,2.27770124119706
"c",92,2005,3,1.37602260825224
"a",93,2005,4,1.82871432648972
"b",93,2005,7,5.3276340176817
"c",93,2005,4,3.6274002075661
"a",94,2005,4,5.65595904155634
"b",94,2005,2,3.93613289599307
"c",94,2005,5,4.42413899488747
"a",95,2005,5,5.52169451746158
"b",95,2005,3,5.30289740324952
"c",95,2005,3,3.37701455480419
"a",96,2005,3,1.43652015272528
"b",96,2005,5,5.47936878073961
"c",96,2005,7,1.30927983345464
"a",97,2005,3,1.35266738035716
"b",97,2005,5,2.53930653817952
"c",97,2005,4,3.10353045491502
"a",98,2005,2,3.31560886604711
"b",98,2005,4,2.08542784932069
"c",98,2005,7,4.27822979772463
"a",99,2005,3,5.3707232689485
"b",99,2005,7,1.13889801106416
"c",99,2005,4,4.23857147363015
"a",100,2005,4,4.25286311213858
"b",100,2005,8,4.75513313454576
"c",100,2005,1,4.74435576610267
"a",1,2006,3,2.55684552621096
"b",1,2006,9,2.87957476591691
"c",1,2006,3,2.57488688244484
"a",2,2006,3,4.77227248391137
"b",2,2006,9,3.58733424590901
"c",2,2006,7,5.10601427778602
"a",3,2006,4,5.99898554058746
"b",3,2006,6,2.56262560165487
"c",3,2006,6,4.48108481266536
"a",4,2006,6,4.81298161461018
"b",4,2006,7,1.06806758232415
"c",4,2006,4,5.83255558414385
"a",5,2006,5,4.83209296851419
"b",5,2006,6,3.10337594267912
"c",5,2006,4,2.87685937271453
"a",6,2006,2,1.67121148225851
"b",6,2006,5,5.5529519172851
"c",6,2006,3,5.69526923960075
"a",7,2006,5,3.25024152896367
"b",7,2006,7,3.02083691139705
"c",7,2006,3,3.6578168803826
"a",8,2006,2,5.32740201591514
"b",8,2006,5,2.65014953934588
"c",8,2006,3,2.23040846083313
"a",9,2006,1,2.35464359191246
"b",9,2006,6,5.1444582643453
"c",9,2006,8,5.73639932344668
"a",10,2006,6,2.92009909776971
"b",10,2006,3,3.20679961377755
"c",10,2006,4,1.54078516433947
"a",11,2006,3,2.33542377268896
"b",11,2006,3,3.40570194320753
"c",11,2006,4,4.07404859107919
"a",12,2006,9,3.59330971050076
"b",12,2006,4,3.28816004935652
"c",12,2006,6,4.86311263195239
"a",13,2006,9,2.99228891520761
"b",13,2006,7,1.68958664312959
"c",13,2006,3,5.64518781052902
"a",14,2006,6,5.22651481581852
"b",14,2006,6,1.61947440379299
"c",14,2006,7,1.63531148480251
"a",15,2006,4,4.34979642066173
"b",15,2006,4,1.62960511539131
"c",15,2006,3,5.71182630979456
"a",16,2006,5,2.5436036081519
"b",16,2006,3,3.50795776839368
"c",16,2006,6,1.38385262596421
"a",17,2006,6,2.38270188355818
"b",17,2006,4,5.5477374701295
"c",17,2006,6,5.77526746457443
"a",18,2006,4,1.94905887846835
"b",18,2006,7,3.02957623288967
"c",18,2006,8,2.40887340996414
"a",19,2006,5,1.92790342518128
"b",19,2006,7,5.88664742559195
"c",19,2006,9,5.07026546890847
"a",20,2006,5,5.34986555133946
"b",20,2006,5,2.31593476864509
"c",20,2006,4,2.11155790742487
"a",21,2006,8,4.77004983369261
"b",21,2006,3,3.93542766361497
"c",21,2006,5,5.15897947503254
"a",22,2006,3,2.59668367356062
"b",22,2006,5,1.64177873078734
"c",22,2006,5,5.24694888060912
"a",23,2006,5,2.37587951729074
"b",23,2006,4,4.43173499801196
"c",23,2006,7,5.86946239718236
"a",24,2006,5,4.11774682137184
"b",24,2006,3,4.81120971171185
"c",24,2006,7,1.12664722045884
"a",25,2006,5,2.36655804235488
"b",25,2006,1,3.94238799018785
"c",25,2006,6,5.25377199077047
"a",26,2006,7,5.61283089127392
"b",26,2006,5,2.18222173419781
"c",26,2006,5,5.29016935639083
"a",27,2006,5,2.31817242596298
"b",27,2006,7,5.73353541106917
"c",27,2006,2,3.553582432447
"a",28,2006,5,1.44194046990015
"b",28,2006,6,2.1405505402945
"c",28,2006,3,1.9779474826064
"a",29,2006,4,4.57898224960081
"b",29,2006,7,1.66061611520126
"c",29,2006,3,5.36954943463206
"a",30,2006,4,2.45709567004815
"b",30,2006,6,4.76798013690859
"c",30,2006,5,2.44636288401671
"a",31,2006,4,3.86657956428826
"b",31,2006,9,3.17347736586817
"c",31,2006,4,2.08853271929547
"a",32,2006,6,4.34136424120516
"b",32,2006,2,3.49511859961785
"c",32,2006,4,2.32134469575249
"a",33,2006,6,3.27168273646384
"b",33,2006,2,3.2235733747948
"c",33,2006,1,1.99885096191429
"a",34,2006,9,2.46415732917376
"b",34,2006,7,1.51785553456284
"c",34,2006,6,1.24831848917529
"a",35,2006,5,1.05040626158006
"b",35,2006,7,5.35693864710629
"c",35,2006,5,1.13161164242774
"a",36,2006,5,1.24245311738923
"b",36,2006,7,1.88620039983653
"c",36,2006,5,3.17284748330712
"a",37,2006,4,1.76130794244818
"b",37,2006,2,4.38605015538633
"c",37,2006,5,3.896357125137
"a",38,2006,6,5.12024483666755
"b",38,2006,6,1.05488205468282
"c",38,2006,3,1.61039172345772
"a",39,2006,3,1.94926260760985
"b",39,2006,3,1.46692920266651
"c",39,2006,3,2.84375533135608
"a",40,2006,1,2.5320508251898
"b",40,2006,4,3.54676107899286
"c",40,2006,4,2.88499386538751
"a",41,2006,5,1.13792454497889
"b",41,2006,5,5.29556508199312
"c",41,2006,6,2.74625684740022
"a",42,2006,7,1.99496677517891
"b",42,2006,7,5.83321956940927
"c",42,2006,7,1.56501562008634
"a",43,2006,5,2.2987502804026
"b",43,2006,5,3.10176283610053
"c",43,2006,4,3.94931958545931
"a",44,2006,5,2.74454852589406
"b",44,2006,4,3.02787136659026
"c",44,2006,4,4.85115168639459
"a",45,2006,8,3.81455381540582
"b",45,2006,5,5.91350919357501
"c",45,2006,3,2.64239039993845
"a",46,2006,6,4.38196043041535
"b",46,2006,7,1.36643753759563
"c",46,2006,5,5.37894642585889
"a",47,2006,6,2.07132215518504
"b",47,2006,2,2.07372697675601
"c",47,2006,2,3.37934660166502
"a",48,2006,5,3.3534573498182
"b",48,2006,5,3.80660504940897
"c",48,2006,7,5.31104039424099
"a",49,2006,3,1.44591572601348
"b",49,2006,2,4.34997519734316
"c",49,2006,7,3.88244517752901
"a",50,2006,5,4.72540189651772
"b",50,2006,4,5.44356676889583
"c",50,2006,3,1.4247579886578
"a",51,2006,3,1.70278553874232
"b",51,2006,4,3.42184979259036
"c",51,2006,5,4.99954807246104
"a",52,2006,3,2.1522483790759
"b",52,2006,2,3.51290689804591
"c",52,2006,2,4.23756571626291
"a",53,2006,8,2.56623474089429
"b",53,2006,7,2.4408150059171
"c",53,2006,6,2.25962956808507
"a",54,2006,3,4.61239680671133
"b",54,2006,3,3.57530456990935
"c",54,2006,7,2.61898611229844
"a",55,2006,9,2.10767201404087
"b",55,2006,4,1.52614921471104
"c",55,2006,5,2.06418040115386
"a",56,2006,7,5.31782280094922
"b",56,2006,8,3.3742572683841
"c",56,2006,4,1.36835401435383
"a",57,2006,2,2.24574952293187
"b",57,2006,7,5.64174679829739
"c",57,2006,5,4.45905691036023
"a",58,2006,7,1.3094394877553
"b",58,2006,3,2.93547412520275
"c",58,2006,7,5.42185634514317
"a",59,2006,2,5.72713100374676
"b",59,2006,5,2.19701283168979
"c",59,2006,3,5.54097046284005
"a",60,2006,8,1.49062879988924
"b",60,2006,3,1.56034685228951
"c",60,2006,5,4.81508309394121
"a",61,2006,5,4.00278632086702
"b",61,2006,5,2.6056303482037
"c",61,2006,7,1.99686034722254
"a",62,2006,4,5.84773087431677
"b",62,2006,4,5.57938507432118
"c",62,2006,4,5.24806530238129
"a",63,2006,8,3.25280358223245
"b",63,2006,6,5.7251824173145
"c",63,2006,5,4.29908084357157
"a",64,2006,6,2.70489174430259
"b",64,2006,5,3.42687279707752
"c",64,2006,3,5.45645373431034
"a",65,2006,3,1.88405527872965
"b",65,2006,11,4.63883461803198
"c",65,2006,7,5.93194477749057
"a",66,2006,5,4.61569126485847
"b",66,2006,8,1.43586016981862
"c",66,2006,2,4.41877391329035
"a",67,2006,6,2.53422117582522
"b",67,2006,1,2.88644589739852
"c",67,2006,7,5.93783474084921
"a",68,2006,5,3.51785116968676
"b",68,2006,5,3.54448375315405
"c",68,2006,3,1.174790173769
"a",69,2006,3,3.55216652993113
"b",69,2006,5,2.40892291208729
"c",69,2006,6,4.56203368515708
"a",70,2006,4,2.13562484271824
"b",70,2006,3,4.8828978931997
"c",70,2006,2,4.5012297227513
"a",71,2006,4,4.54708773083985
"b",71,2006,7,5.42401384352706
"c",71,2006,3,2.36942671146244
"a",72,2006,8,1.34039314952679
"b",72,2006,9,5.92017533397302
"c",72,2006,4,2.75847779843025
"a",73,2006,8,3.29756902786903
"b",73,2006,3,3.09819851443172
"c",73,2006,10,5.0283927146811
"a",74,2006,9,2.08323561609723
"b",74,2006,2,2.7249906854704
"c",74,2006,5,3.78185444301926
"a",75,2006,6,5.14664435898885
"b",75,2006,6,2.11639213515446
"c",75,2006,6,2.42270126962103
"a",76,2006,6,1.11870985035785
"b",76,2006,2,3.33790451311506
"c",76,2006,3,5.02666261070408
"a",77,2006,7,4.06060126749799
"b",77,2006,4,4.35324357496575
"c",77,2006,6,1.3113006753847
"a",78,2006,5,1.00032019335777
"b",78,2006,2,3.25685071898624
"c",78,2006,2,2.97428257553838
"a",79,2006,5,2.48227860336192
"b",79,2006,2,3.48457867652178
"c",79,2006,6,2.40256737126037
"a",80,2006,4,5.2750522471033
"b",80,2006,7,1.35234808456153
"c",80,2006,7,2.39542962657288
"a",81,2006,7,3.74727893527597
"b",81,2006,4,5.76741502527148
"c",81,2006,4,4.80995119572617
"a",82,2006,6,4.87723720981739
"b",82,2006,3,4.79391412832774
"c",82,2006,6,5.03410727391019
"a",83,2006,9,4.121029115282
"b",83,2006,4,5.32591870310716
"c",83,2006,2,3.09942441084422
"a",84,2006,5,2.61821741843596
"b",84,2006,4,2.03728295885958
"c",84,2006,3,4.4028924186714
"a",85,2006,3,1.24304984021001
"b",85,2006,2,3.79411052120849
"c",85,2006,6,2.61304205306806
"a",86,2006,4,5.23276758869179
"b",86,2006,2,5.42107681417838
"c",86,2006,5,1.96335824928246
"a",87,2006,5,3.07250697887503
"b",87,2006,6,3.49796625226736
"c",87,2006,7,5.1307413415052
"a",88,2006,3,2.89535527373664
"b",88,2006,4,5.32864347589202
"c",88,2006,5,4.67052017012611
"a",89,2006,3,4.76910203951411
"b",89,2006,4,1.3347946330905
"c",89,2006,7,2.44357782555744
"a",90,2006,3,1.38549379096366
"b",90,2006,4,2.41818506177515
"c",90,2006,5,1.0004389253445
"a",91,2006,1,5.86356878303923
"b",91,2006,4,3.53473754855804
"c",91,2006,8,4.08777463738807
"a",92,2006,6,5.38051384757273
"b",92,2006,11,2.24625291791745
"c",92,2006,7,2.39450794551522
"a",93,2006,3,1.59165338636376
"b",93,2006,7,2.73886955948547
"c",93,2006,6,5.38004645635374
"a",94,2006,5,1.47666174010374
"b",94,2006,4,2.04402589378878
"c",94,2006,4,5.17379020247608
"a",95,2006,11,3.1975386608392
"b",95,2006,2,4.81658993544988
"c",95,2006,4,3.83058233559132
"a",96,2006,3,1.73766543413512
"b",96,2006,2,3.49506638152525
"c",96,2006,6,5.19726354419254
"a",97,2006,12,1.09075889131054
"b",97,2006,9,3.17032131971791
"c",97,2006,1,4.65412476821803
"a",98,2006,7,1.54786704364233
"b",98,2006,6,3.47876474284567
"c",98,2006,7,3.48479765257798
"a",99,2006,3,3.21709272242151
"b",99,2006,7,2.25762809999287
"c",99,2006,4,2.36250298121013
"a",100,2006,2,1.10478815645911
"b",100,2006,6,4.94877797109075
"c",100,2006,7,1.65711394650862
"a",1,2007,5,1.40959915611893
"b",1,2007,2,2.21759827481583
"c",1,2007,7,1.81031435285695
"a",2,2007,4,3.05480506992899
"b",2,2007,7,1.61833931948058
"c",2,2007,3,3.3968316114042
"a",3,2007,9,3.03678742516786
"b",3,2007,3,5.04559814371169
"c",3,2007,7,4.63325452315621
"a",4,2007,5,5.53456374350935
"b",4,2007,7,5.86662284354679
"c",4,2007,2,2.37018439592794
"a",5,2007,7,4.60997317475267
"b",5,2007,3,1.84091835189611
"c",5,2007,5,5.18126261094585
"a",6,2007,7,5.39506485126913
"b",6,2007,7,5.88694085506722
"c",6,2007,5,1.38008518284187
"a",7,2007,4,2.33240395924076
"b",7,2007,6,1.94298543641344
"c",7,2007,6,4.20574453566223
"a",8,2007,4,5.40928427618928
"b",8,2007,1,4.38285312172957
"c",8,2007,6,3.07287601311691
"a",9,2007,2,5.03465704875998
"b",9,2007,6,2.4275615545921
"c",9,2007,4,1.03869030741043
"a",10,2007,8,3.39662617095746
"b",10,2007,6,2.1434746067971
"c",10,2007,3,2.20167836314067
"a",11,2007,9,2.0295043385122
"b",11,2007,3,2.73249819548801
"c",11,2007,3,3.53942327923141
"a",12,2007,2,5.06431010691449
"b",12,2007,7,3.57921278476715
"c",12,2007,1,3.84647137741558
"a",13,2007,3,4.08099354850128
"b",13,2007,4,5.77142515243031
"c",13,2007,6,4.64807342062704
"a",14,2007,7,5.67724308487959
"b",14,2007,3,1.5969969148282
"c",14,2007,5,4.84321946650743
"a",15,2007,5,1.91591391363181
"b",15,2007,3,1.37102599046193
"c",15,2007,7,3.20681656501256
"a",16,2007,4,4.79343528416939
"b",16,2007,9,5.95558509486727
"c",16,2007,4,5.42615747568198
"a",17,2007,4,5.15359403006732
"b",17,2007,3,2.7717631184496
"c",17,2007,3,1.83878848701715
"a",18,2007,4,1.38788984762505
"b",18,2007,6,5.41798156360164
"c",18,2007,5,1.03352505504154
"a",19,2007,7,1.42285608826205
"b",19,2007,4,2.77104998962022
"c",19,2007,4,1.01661735936068
"a",20,2007,2,5.88540075719357
"b",20,2007,4,3.47831351356581
"c",20,2007,6,1.80957010271959
"a",21,2007,7,2.76745671429671
"b",21,2007,6,3.56682006176561
"c",21,2007,8,4.55364316143095
"a",22,2007,2,5.60817389888689
"b",22,2007,6,5.4080520235002
"c",22,2007,3,4.75469491817057
"a",23,2007,3,2.23029039124958
"b",23,2007,6,5.22886567539535
"c",23,2007,5,3.4311077024322
"a",24,2007,8,1.91976716183126
"b",24,2007,3,2.75663947942667
"c",24,2007,8,3.25437231129035
"a",25,2007,5,3.48885655659251
"b",25,2007,6,4.57525756349787
"c",25,2007,5,4.98945529712364
"a",26,2007,3,3.02926891273819
"b",26,2007,3,5.30817018612288
"c",26,2007,4,5.07512079924345
"a",27,2007,2,4.69812447926961
"b",27,2007,3,3.36247337888926
"c",27,2007,3,5.25946850213222
"a",28,2007,7,2.62535622017458
"b",28,2007,5,4.96618767175823
"c",28,2007,7,4.01118512987159
"a",29,2007,7,5.02070287731476
"b",29,2007,7,1.54036879097112
"c",29,2007,3,3.07603134098463
"a",30,2007,6,1.08089063339867
"b",30,2007,5,4.94045731634833
"c",30,2007,4,3.00313466018997
"a",31,2007,4,5.02347726398148
"b",31,2007,6,1.72584651294164
"c",31,2007,5,4.80294390837662
"a",32,2007,4,4.20738182752393
"b",32,2007,6,5.9350939237047
"c",32,2007,3,2.55231532058679
"a",33,2007,3,2.42325915046968
"b",33,2007,4,3.55632210988551
"c",33,2007,1,3.14226787909865
"a",34,2007,3,3.89095176151022
"b",34,2007,8,4.64698800491169
"c",34,2007,5,4.12844655942172
"a",35,2007,9,2.3740566407796
"b",35,2007,8,3.05729828448966
"c",35,2007,5,2.89622772508301
"a",36,2007,3,5.84120188513771
"b",36,2007,8,2.33710476802662
"c",36,2007,3,2.4470148133114
"a",37,2007,5,4.40181652689353
"b",37,2007,5,2.37950700242072
"c",37,2007,7,4.292880122317
"a",38,2007,7,2.00645499420352
"b",38,2007,2,5.84328029560857
"c",38,2007,5,1.52723903325386
"a",39,2007,9,5.18310331180692
"b",39,2007,5,5.78524550562724
"c",39,2007,7,3.91816929471679
"a",40,2007,6,2.51422441122122
"b",40,2007,2,1.76058555045165
"c",40,2007,7,4.00335854873993
"a",41,2007,3,3.37754276022315
"b",41,2007,6,3.92877386789769
"c",41,2007,3,4.70533467503265
"a",42,2007,7,3.15119760832749
"b",42,2007,6,1.88140444946475
"c",42,2007,4,2.85803959146142
"a",43,2007,4,1.49007531721145
"b",43,2007,3,3.35361304832622
"c",43,2007,5,5.28629179601558
"a",44,2007,0,5.17376151774079
"b",44,2007,3,3.43525207042694
"c",44,2007,4,3.49785823281854
"a",45,2007,7,2.16840034606867
"b",45,2007,4,1.7734961330425
"c",45,2007,3,2.41196064301766
"a",46,2007,7,3.52070840564556
"b",46,2007,7,3.74861140176654
"c",46,2007,2,2.59809452132322
"a",47,2007,6,3.35587093862705
"b",47,2007,4,1.03879771218635
"c",47,2007,3,1.71345838718116
"a",48,2007,8,5.42972705001011
"b",48,2007,9,5.0564195625484
"c",48,2007,11,3.49629667261615
"a",49,2007,2,2.38573979493231
"b",49,2007,11,5.8132073553279
"c",49,2007,1,5.37640173477121
"a",50,2007,2,2.41165270004421
"b",50,2007,5,1.4189771914389
"c",50,2007,3,2.85282395337708
"a",51,2007,7,3.32321160961874
"b",51,2007,5,3.66060131718405
"c",51,2007,10,4.63286431878805
"a",52,2007,4,1.51113714231178
"b",52,2007,2,3.16478671180084
"c",52,2007,6,1.33545115031302
"a",53,2007,5,4.60251648584381
"b",53,2007,4,2.18693518452346
"c",53,2007,10,2.62676425650716
"a",54,2007,2,5.80665024602786
"b",54,2007,5,1.74539003195241
"c",54,2007,3,5.77085490012541
"a",55,2007,8,3.8111746639479
"b",55,2007,4,1.01216409727931
"c",55,2007,10,2.14562520058826
"a",56,2007,3,2.19166677817702
"b",56,2007,5,4.99892096174881
"c",56,2007,1,2.73897106316872
"a",57,2007,6,2.01734527968802
"b",57,2007,4,3.0816651917994
"c",57,2007,3,1.78618250787258
"a",58,2007,9,3.24113325006329
"b",58,2007,3,5.15148034924641
"c",58,2007,3,4.41789003461599
"a",59,2007,8,4.0962196434848
